type,Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,CLUSTER,Question Day,pmg_id,member_id,department,member_match
written,968,NW1088E,Mr M Manyi,MK,"Planning, Monitoring and Evaluation","Friday, March 06, 2026","Friday, March 20, 2026",2026-04-14,Late,A,,,,37352,529,"Planning, Monitoring and Evaluation",pmg_code
written,969,NW1089E,Mr M Manyi,MK,"Planning, Monitoring and Evaluation","Friday, March 06, 2026","Friday, March 20, 2026",2026-04-14,Late,A,,,,37325,1719,"Planning, Monitoring and Evaluation",pmg_code
written,970,NW1090E,Rev N B Gcwabaza,MK,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",,Late,U,,,,36317,1719,Basic Education,pmg_code
written,971,NW1091E,Rev N B Gcwabaza,MK,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,37475,1719,Basic Education,pmg_code
written,972,NW1092E,Mr M M Gasa,MK,Correctional Services,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-13,Timeous,A,,,,36468,2356,Correctional Services,pmg_code
written,973,NW1093E,Mr M M Gasa,MK,Correctional Services,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-17,Timeous,A,,,,36450,1368,Correctional Services,pmg_code
written,974,NW1094E,Mr M M Gasa,MK,Correctional Services,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36585,583,Correctional Services,pmg_code
written,975,NW1095E,Mr S W Mkhize,MK,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-18,Timeous,A,,,,36917,583,Basic Education,pmg_code
written,976,NW1096E,Mr S W Mkhize,MK,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-06-03,Late,A,,,,36451,583,Basic Education,pmg_code
written,977,NW1097E,Mr S W Mkhize,MK,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-06-08,Late,A,,,,37326,2029,Basic Education,pmg_code
written,978,NW1098E,Mr S R Moodley,MK,Tourism,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36986,2029,Tourism,pmg_code
written,979,NW1099E,Mr S R Moodley,MK,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36987,1077,Basic Education,pmg_code
written,980,NW1100E,Mr S R Moodley,MK,Tourism,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,37101,1776,Tourism,pmg_code
written,981,NW1101E,Mr V G Reddy,MK,Police,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36546,1300,Police,pmg_code
written,982,NW1102E,Mr K B Madlala,MK,Home Affairs,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-02,Late,A,,,,36602,1880,Home Affairs,pmg_code
written,983,NW1104E,Mr K B Madlala,MK,Home Affairs,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-02,Late,A,,,,36603,1936,Home Affairs,pmg_code
written,984,NW1106E,Ms M B B Muhammad,MK,International Relations and Cooperation,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-24,Late,A,,,,37476,1357,International Relations and Cooperation,pmg_code
written,985,NW1107E,Dr K Litchfield-Tshabalala,MK,Finance,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-18,Timeous,A,,,,36533,951,Finance,pmg_code
written,986,NW1108E,Dr K Litchfield-Tshabalala,MK,Finance,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-18,Timeous,A,,,,37370,1971,Finance,pmg_code
written,987,NW1109E,Dr K Litchfield-Tshabalala,MK,Employment and Labour,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36647,2087,Employment and Labour,pmg_code
written,988,NW1110E,Ms N A Mtshweni,MK,Higher Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-13,Late,A,,,,36648,2087,Higher Education,pmg_code
written,989,NW1111E,Mr G Motaung,MK,"Sports, Arts and Culture","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,,2358,"Sports, Arts and Culture",member_name
written,990,NW1112E,Mr G Motaung,MK,"Sports, Arts and Culture","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36604,2355,"Sports, Arts and Culture",pmg_code
written,991,NW1113E,Mr G Motaung,MK,"Sports, Arts and Culture","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-25,Late,A,,,,36452,2134,"Sports, Arts and Culture",pmg_code
written,992,NW1114E,Mr G Taaibosch,MK,"Forestry, Fisheries and the Environment","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36453,2134,"Forestry, Fisheries and the Environment",pmg_code
written,993,NW1115E,Mr G Taaibosch,MK,"Forestry, Fisheries and the Environment","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36649,1909,"Forestry, Fisheries and the Environment",pmg_code
written,994,NW1116E,Mr M P Msezane,MK,Health,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-08,Late,A,,,,36999,2345,Health,pmg_code
written,995,NW1117E,Mr M P Msezane,MK,Human Settlements,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-01,Late,A,,,,37371,481,Human Settlements,pmg_code
written,996,NW1118E,Mr M P Msezane,MK,Higher Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-05-04,Late,A,,,,37477,481,Higher Education,pmg_code
written,997,NW1119E,Mr A T Themba,MK,"Forestry, Fisheries and the Environment","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36650,185,"Forestry, Fisheries and the Environment",pmg_code
written,998,NW1120E,Mr A T Themba,MK,"Forestry, Fisheries and the Environment","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,,2124,"Forestry, Fisheries and the Environment",member_name
written,999,NW1121E,Mr S P Mkhize,MK,Water and Sanitation,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-13,Late,A,,,,36605,770,Water and Sanitation,pmg_code
written,1000,NW1122E,Mr S P Mkhize,MK,"Forestry, Fisheries and the Environment","Friday, March 06, 2026","Friday, March 20, 2026",2026-04-14,Late,A,,,,37633,770,"Forestry, Fisheries and the Environment",pmg_code
written,1001,NW1123E,Ms B E S Zuma,MK,Finance,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-18,Timeous,A,,,,36454,1798,Finance,pmg_code
written,1002,NW1124E,Mr Z E Mthethwa,MK,"Trade, Industry and Competition","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-24,Late,A,,,,,2099,"Trade, Industry and Competition",member_name
written,1003,NW1125E,Mr Z E Mthethwa,MK,"Trade, Industry and Competition","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-24,Late,A,,,,,2099,"Trade, Industry and Competition",member_name
written,1004,NW1127E,Mr S G Mwali,MK,Land Reform and Rural Development,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-12,Timeous,A,,,,,2102,Land Reform and Rural Development,member_name
written,1005,NW1128E,Mr S G Mwali,MK,Employment and Labour,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,,2102,Employment and Labour,member_name
written,1006,NW1129E,Mr N I Nxumalo,MK,Higher Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-29,Late,A,,,,37159,2334,Higher Education,pmg_code
written,1007,NW1130E,Mr N I Nxumalo,MK,Health,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-08,Late,A,,,,36989,1077,Health,pmg_code
written,1008,NW1132E,Mr L D Selepe,MK,"Sports, Arts and Culture","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-25,Late,A,,,,36724,909,"Sports, Arts and Culture",pmg_code
written,1009,NW1133E,Mr Z K A Cele,MK,Defence and Military Veterans,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-25,Late,A,,,,36725,2334,Defence and Military Veterans,pmg_code
written,1010,NW1134E,Ms P P Mngadi,MK,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36606,1357,Basic Education,pmg_code
written,1011,NW1135E,Ms P P Mngadi,MK,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-06-09,Late,A,,,,37511,951,Basic Education,pmg_code
written,1012,NW1136E,Mr D D D van Rooyen,MK,Finance,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-31,Late,A,,,,37244,1084,Finance,pmg_code
written,1013,NW1137E,Mr D D D van Rooyen,MK,Finance,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,37000,1999,Finance,pmg_code
written,1014,NW1138E,Mr D D D van Rooyen,MK,Finance,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-31,Late,A,,,,36758,1999,Finance,pmg_code
written,1015,NW1139E,Mr T T S Kubheka,MK,Mineral and Petroleum Resources,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-29,Late,A,,,,36895,1999,Mineral and Petroleum Resources,pmg_code
written,1016,NW1140E,Mr T T S Kubheka,MK,Transport,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36586,1084,Transport,pmg_code
written,1017,NW1141E,Mr T T S Kubheka,MK,Mineral and Petroleum Resources,"Friday, March 06, 2026","Friday, March 20, 2026",2026-05-25,Late,A,,,,37512,1084,Mineral and Petroleum Resources,pmg_code
written,1018,NW1142E,Ms N Buthelezi,MK,Tourism,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,37222,1328,Tourism,pmg_code
written,1019,NW1143E,Ms N Buthelezi,MK,Tourism,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,37583,1989,Tourism,pmg_code
written,1020,NW1148E,Ms O M C Maotwe,EFF,Finance,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-31,Late,A,,,,36587,1967,Finance,pmg_code
written,1021,NW1149E,Ms O M C Maotwe,EFF,Finance,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-31,Late,A,,,,36882,818,Finance,pmg_code
written,1022,NW1150E,Ms O M C Maotwe,EFF,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36588,818,Basic Education,pmg_code
written,1023,NW1151E,Mr V Pambo,EFF,Public Works and Infrastructure,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,37161,2134,Public Works and Infrastructure,pmg_code
written,1024,NW1152E,Mr V Pambo,EFF,Justice and Constitutional Development,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-10,Late,A,,,,,1351,Justice and Constitutional Development,member_name
written,1025,NW1153E,Ms M Dlamini,EFF,Water and Sanitation,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-13,Late,A,,,,36607,2100,Water and Sanitation,pmg_code
written,1026,NW1154E,Ms M Dlamini,EFF,Justice and Constitutional Development,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-14,Late,A,,,,37001,2100,Justice and Constitutional Development,pmg_code
written,1027,NW1155E,Ms M Dlamini,EFF,Police,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,37002,2077,Police,pmg_code
written,1028,NW1156E,Mr S Thambo,EFF,Communications and Digital Technologies,"Friday, March 06, 2026","Friday, March 20, 2026",2026-05-25,Late,A,,,,37108,2077,Communications and Digital Technologies,pmg_code
written,1029,NW1157E,Mr S Thambo,EFF,International Relations and Cooperation,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36760,2342,International Relations and Cooperation,pmg_code
written,1030,NW1158E,Mr S Thambo,EFF,"Trade, Industry and Competition","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-24,Late,A,,,,37104,2342,"Trade, Industry and Competition",pmg_code
written,1031,NW1159E,Ms B K Diale,EFF,Water and Sanitation,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-13,Late,A,,,,36669,817,Water and Sanitation,pmg_code
written,1032,NW1160E,Ms B K Diale,EFF,Water and Sanitation,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-18,Timeous,A,,,,37360,817,Water and Sanitation,pmg_code
written,1033,NW1161E,Ms B K Diale,EFF,Water and Sanitation,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-13,Late,A,,,,36608,2378,Water and Sanitation,pmg_code
written,1034,NW1162E,Ms N M Mhlongo,EFF,International Relations and Cooperation,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36761,2378,International Relations and Cooperation,pmg_code
written,1035,NW1163E,Ms N M Mhlongo,EFF,International Relations and Cooperation,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,37585,2378,International Relations and Cooperation,pmg_code
written,1036,NW1164E,Ms N M Mhlongo,EFF,Health,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-08,Late,A,,,,36455,2082,Health,pmg_code
written,1037,NW1165E,Mr C Matiwane,EFF,Police,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36692,2082,Police,pmg_code
written,1038,NW1166E,Mr T P Mogale,EFF,Home Affairs,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-02,Late,A,,,,36589,2086,Home Affairs,pmg_code
written,1039,NW1167E,Mr T P Mogale,EFF,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,37112,2086,Basic Education,pmg_code
written,1040,NW1168E,Mr T P Mogale,EFF,"Sports, Arts and Culture","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-16,Timeous,A,,,,36670,2135,"Sports, Arts and Culture",pmg_code
written,1041,NW1169E,Ms N R Mashabela,EFF,Tourism,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,37105,2135,Tourism,pmg_code
written,1042,NW1170E,Ms N R Mashabela,EFF,Tourism,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36762,2135,Tourism,pmg_code
written,1043,NW1171E,Ms N R Mashabela,EFF,Tourism,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,37609,2332,Tourism,pmg_code
written,1044,NW1172E,Ms S Gcilishe,EFF,Public Service and Administration,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-30,Late,A,,,,36702,2332,Public Service and Administration,pmg_code
written,1045,NW1173E,Ms S Gcilishe,EFF,Public Service and Administration,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-30,Late,A,,,,36703,2332,Public Service and Administration,pmg_code
written,1046,NW1174E,Ms S Gcilishe,EFF,Public Service and Administration,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-30,Late,A,,,,37967,2331,Public Service and Administration,pmg_code_name
written,1047,NW1175E,Ms T J Mokwele,EFF,"Sports, Arts and Culture","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-25,Late,A,,,,36456,2331,"Sports, Arts and Culture",pmg_code
written,1048,NW1176E,Ms T J Mokwele,EFF,"Sports, Arts and Culture","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,37003,2091,"Sports, Arts and Culture",pmg_code
written,1049,NW1177E,Ms T J Mokwele,EFF,"Sports, Arts and Culture","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-25,Late,A,,,,37162,2091,"Sports, Arts and Culture",pmg_code
written,1050,NW1178E,Ms M R Mohlala,EFF,Justice and Constitutional Development,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-15,Late,A,,,,37010,2091,Justice and Constitutional Development,pmg_code
written,1051,NW1179E,Ms M R Mohlala,EFF,Water and Sanitation,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-13,Late,A,,,,36870,2075,Water and Sanitation,pmg_code
written,1052,NW1180E,Ms M R Mohlala,EFF,"Forestry, Fisheries and the Environment","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36871,2075,"Forestry, Fisheries and the Environment",pmg_code
written,1053,NW1181E,Mrs L F Tito,EFF,Mineral and Petroleum Resources,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-08,Late,A,,,,38261,2083,Mineral and Petroleum Resources,pmg_code
written,1054,NW1182E,Mrs L F Tito,EFF,Mineral and Petroleum Resources,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-08,Late,A,,,,37271,2083,Mineral and Petroleum Resources,pmg_code
written,1055,NW1183E,Mrs L F Tito,EFF,Mineral and Petroleum Resources,"Friday, March 06, 2026","Friday, March 20, 2026",2026-05-25,Late,A,,,,37308,2376,Mineral and Petroleum Resources,pmg_code
written,1056,NW1184E,Mr L M Komane,EFF,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-18,Timeous,A,,,,37655,2376,Basic Education,pmg_code
written,1057,NW1185E,Mr M Shikwambana,EFF,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,37534,2132,Basic Education,pmg_code
written,1058,NW1186E,Mr M Shikwambana,EFF,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-06-09,Late,A,,,,36593,2132,Basic Education,pmg_code
written,1059,NW1187E,Mr M Shikwambana,EFF,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-18,Timeous,A,,,,37457,2377,Basic Education,pmg_code
written,1060,NW1189E,Ms L Managa,EFF,"Forestry, Fisheries and the Environment","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,36547,2087,"Forestry, Fisheries and the Environment",pmg_code
written,1061,NW1190E,Dr S S Thembekwayo,EFF,"Science, Technology and Innovation","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-24,Late,A,,,,36726,2087,"Science, Technology and Innovation",pmg_code
written,1062,NW1191E,Dr S S Thembekwayo,EFF,"Science, Technology and Innovation","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-24,Late,A,,,,37510,1844,"Science, Technology and Innovation",pmg_code
written,1063,NW1192E,Dr S S Thembekwayo,EFF,"Science, Technology and Innovation","Friday, March 06, 2026","Friday, March 20, 2026",2026-04-20,Late,A,,,,36671,2099,"Science, Technology and Innovation",pmg_code
written,1064,NW1193E,Ms P R Mailola,EFF,Human Settlements,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-01,Late,A,,,,36610,2099,Human Settlements,pmg_code
written,1065,NW1194E,Ms P R Mailola,EFF,Human Settlements,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36798,2081,Human Settlements,pmg_code
written,1066,NW1195E,Ms P R Mailola,EFF,Mineral and Petroleum Resources,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-29,Late,A,,,,36615,2081,Mineral and Petroleum Resources,pmg_code
written,1067,NW1196E,Ms N Tafeni,EFF,Cooperative Governance and Traditional Affairs,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-02,Late,A,,,,36590,2359,Cooperative Governance and Traditional Affairs,pmg_code
written,1068,NW1197E,Ms N Tafeni,EFF,Cooperative Governance and Traditional Affairs,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36591,2359,Cooperative Governance and Traditional Affairs,pmg_code
written,1069,NW1198E,Ms N Tafeni,EFF,Cooperative Governance and Traditional Affairs,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-27,Late,A,,,,37106,698,Cooperative Governance and Traditional Affairs,pmg_code
written,1070,NW1199E,Ms L H Arries,EFF,Social Development,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-27,Late,A,,,,37656,698,Social Development,pmg_code
written,1071,NW1200E,Ms L H Arries,EFF,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,37688,698,Basic Education,pmg_code
written,1072,NW1201E,Ms L H Arries,EFF,Communications and Digital Technologies,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-30,Late,A,,,,37163,2355,Communications and Digital Technologies,pmg_code
written,1073,NW1202E,Ms C N Mkhonto,EFF,Social Development,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-30,Late,A,,,,37309,2355,Social Development,pmg_code
written,1074,NW1203E,Ms C N Mkhonto,EFF,Basic Education,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-19,Timeous,A,,,,37004,2101,Basic Education,pmg_code
written,1075,NW1204E,Mrs N N Chirwa-Mpungose,EFF,Health,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-08,Late,A,,,,36693,2101,Health,pmg_code
written,1076,NW1205E,Ms N N Chirwa-Mpungose,EFF,Health,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-08,Late,A,,,,37657,2101,Health,pmg_code
written,1077,NW1206E,Ms N N Chirwa-Mpungose,EFF,Health,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-08,Late,A,,,,36548,2358,Health,pmg_code
written,1078,NW1207E,Ms P Marais,EFF,Cooperative Governance and Traditional Affairs,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,37450,2358,Cooperative Governance and Traditional Affairs,pmg_code
written,1079,NW1208E,Ms P Marais,EFF,Social Development,"Friday, March 06, 2026","Friday, March 20, 2026",2026-05-18,Late,A,,,,36764,2131,Social Development,pmg_code
written,1080,NW1209E,Ms M S Letlape,EFF,Public Works and Infrastructure,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,37273,2120,Public Works and Infrastructure,pmg_code
written,1081,NW1210E,Ms M S Letlape,EFF,Public Works and Infrastructure,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36765,2120,Public Works and Infrastructure,pmg_code
written,1082,NW1212E,Mr M Khoza,EFF,"Trade, Industry and Competition","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-24,Late,A,,,,37658,2103,"Trade, Industry and Competition",pmg_code
written,1083,NW1213E,Mr M Khoza,EFF,"Trade, Industry and Competition","Friday, March 06, 2026","Friday, March 20, 2026",2026-05-05,Late,A,,,,36842,2103,"Trade, Industry and Competition",pmg_code
written,1084,NW1214E,Mr M Khoza,EFF,Police,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-13,Timeous,A,,,,37659,2103,Police,pmg_code
written,1085,NW1215E,Mr C G Niehaus,EFF,Defence and Military Veterans,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-23,Late,A,,,,37513,2078,Defence and Military Veterans,pmg_code
written,1086,NW1216E,Mr C G Niehaus,EFF,Cooperative Governance and Traditional Affairs,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-27,Late,A,,,,37514,2078,Cooperative Governance and Traditional Affairs,pmg_code
written,1087,NW1217E,Mr C G Niehaus,EFF,Correctional Services,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-17,Timeous,A,,,,37515,2078,Correctional Services,pmg_code
written,1088,NW1218E,Ms M S Khawula,EFF,Human Settlements,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-24,Late,A,,,,36694,1845,Human Settlements,pmg_code
written,1089,NW1219E,Ms B Mathulelwa,EFF,Small Business Development,"Friday, March 06, 2026","Friday, March 20, 2026",2026-04-24,Late,A,,,,37080,1845,Small Business Development,pmg_code
written,1090,NW1220E,Ms B Mathulelwa,EFF,"Sports, Arts and Culture","Friday, March 06, 2026","Friday, March 20, 2026",2026-03-16,Timeous,A,,,,36695,1845,"Sports, Arts and Culture",pmg_code
written,1091,NW1221E,Ms B Mathulelwa,EFF,Cooperative Governance and Traditional Affairs,"Friday, March 06, 2026","Friday, March 20, 2026",2026-05-04,Late,A,,,,37152,2124,Cooperative Governance and Traditional Affairs,pmg_code
written,1092,NW1223E,Mr Z K A Cele,MK,Employment and Labour,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36873,2124,Employment and Labour,pmg_code
written,1093,NW1224E,Mr S L Ngcobo,IFP,Public Works and Infrastructure,"Friday, March 06, 2026","Friday, March 20, 2026",2026-03-20,Timeous,A,,,,36844,2330,Public Works and Infrastructure,pmg_code
written,1094,NW989E,Dr M A Maimane,BOSA,Police,"Friday, March 13, 2026","Friday, March 27, 2026",2026-03-26,Timeous,A,,,,36471,2358,Police,pmg_code
written,1095,NW990E,Dr M A Maimane,BOSA,Police,"Friday, March 13, 2026","Friday, March 27, 2026",2026-04-13,Late,A,,,,36472,2358,Police,pmg_code
written,1096,NW991E,Dr M A Maimane,BOSA,Police,"Friday, March 13, 2026","Friday, March 27, 2026",2026-03-20,Timeous,A,,,,36542,2358,Police,pmg_code
written,1097,NW993E,Ms N L Hlazo-Webster,BOSA,Justice and Constitutional Development,"Friday, March 13, 2026","Friday, March 27, 2026",2026-04-23,Late,A,,,,36380,2134,Justice and Constitutional Development,pmg_code
written,1098,NW994E,Ms N L Hlazo-Webster,BOSA,Justice and Constitutional Development,"Friday, March 13, 2026","Friday, March 27, 2026",2026-04-14,Late,A,,,,36811,2133,Justice and Constitutional Development,pmg_code
written,1099,NW1001E,Mrs M O Clarke,DA,Health,"Friday, March 13, 2026","Friday, March 27, 2026",2026-04-14,Late,A,,,,36347,2378,Health,pmg_code
written,1100,NW1045E,Mr S S Zondo,IFP,Higher Education,"Friday, March 13, 2026","Friday, March 27, 2026",2026-04-13,Late,A,,,,36645,1909,Higher Education,pmg_code
written,1101,NW1047E,Mr B N Luthuli,IFP,"Sports, Arts and Culture","Friday, March 13, 2026","Friday, March 27, 2026",2026-03-25,Timeous,A,,,,36544,1934,"Sports, Arts and Culture",pmg_code
written,1102,NW1211E,Ms M S Letlape,EFF,Public Works and Infrastructure,"Friday, March 13, 2026","Friday, March 27, 2026",2026-03-27,Timeous,A,,,,36592,2120,Public Works and Infrastructure,pmg_code
written,1103,NW1225E,Ms D E James,ActionSA,"Women, Youth and Persons with Disabilities","Friday, March 13, 2026","Friday, March 27, 2026",2026-04-17,Late,A,[199] [ (Rule 137(8))],,,,2043,"Women, Youth and Persons with Disabilities",member_name
written,1104,NW1226E,Ms M P Kobe,ActionSA,Cooperative Governance and Traditional Affairs,"Friday, March 13, 2026","Friday, March 27, 2026",2026-03-27,Timeous,A,[200] [ (Rule 137(8))],,,36923,163,Cooperative Governance and Traditional Affairs,pmg_code
written,1105,NW1227E,Mr S M Gana,Rise Mzansi,Cooperative Governance and Traditional Affairs,"Friday, March 13, 2026","Friday, March 27, 2026",2026-04-02,Late,A,[201] [ (Rule 137(8))],,,36616,2363,Cooperative Governance and Traditional Affairs,pmg_code
written,1106,NW1229E,Mr V Zungula,ATM,"Women, Youth and Persons with Disabilities","Friday, March 13, 2026","Friday, March 27, 2026",2026-05-04,Late,A,,,,36766,2095,"Women, Youth and Persons with Disabilities",pmg_code
written,1107,NW1230E,Ms T L Marawu,ATM,Deputy President,"Friday, March 13, 2026","Friday, March 27, 2026",2026-03-24,Late,A,,,,36575,2095,Deputy President,pmg_code
written,1108,NW1232E,Inkosi N Z Buthelezi,IFP,Cooperative Governance and Traditional Affairs,"Friday, March 13, 2026","Friday, March 27, 2026",2026-04-28,Late,A,[204] [ (Rule 137(8))],,,37310,2098,Cooperative Governance and Traditional Affairs,pmg_code
written,1109,NW1233E,Ms G Mchunu,MK,Public Service and Administration,"Friday, March 13, 2026","Friday, March 27, 2026",2026-03-30,Late,A,[205] [ (Rule 137(8))],,,37005,2098,Public Service and Administration,pmg_code
written,1110,NW1234E,Ms G Mchunu,MK,Public Service and Administration,"Friday, March 13, 2026","Friday, March 27, 2026",2026-03-30,Late,A,[206] [ (Rule 137(8))],,,37119,2098,Public Service and Administration,pmg_code
