Code,PMG,Register,Scrape
CW1278,1,0,0
CW1279,1,0,0
CW1280,1,0,0
CW1282,1,0,0
CW1283,1,0,0
CW1284,1,0,0
CW1285,1,0,0
CW1287,1,0,0
CW129,1,0,0
CW1290,1,0,0
CW1291,1,0,0
CW1293,1,0,0
CW1296,1,0,0
CW13,1,0,0
CW130,1,0,0
CW131,1,0,0
CW1318,1,0,0
CW134,1,0,0
CW138,1,0,0
CW14,1,0,0
CW140,1,0,0
CW142,1,0,0
CW143,1,0,0
CW144,1,0,0
CW146,1,0,0
CW148,1,0,0
CW15,1,0,0
CW150,1,0,0
CW151,1,0,0
CW159,1,0,0
CW16,1,0,0
CW160,1,0,0
CW164,1,0,0
CW166,1,0,0
CW167,1,0,0
CW17,1,0,0
CW170,1,0,0
CW171,1,0,0
CW177,1,0,0
CW18,1,0,0
CW180,1,0,0
CW182,1,0,0
CW183,1,0,0
CW186,1,0,0
CW187,1,0,0
CW19,1,0,0
CW192,1,0,0
CW193,1,0,0
CW196,1,0,0
CW20,1,0,0
CW202,1,0,0
CW208,1,0,0
CW214,1,0,0
CW216,1,0,0
CW219,1,0,0
CW22,1,0,0
CW227,1,0,0
CW228,1,0,0
CW229,1,0,0
CW23,1,0,0
CW231,1,0,0
CW233,1,0,0
CW235,1,0,0
CW236,1,0,0
CW24,1,0,0
CW242,1,0,0
CW249,1,0,0
CW25,1,0,0
CW250,1,0,0
CW251,1,0,0
CW253,1,0,0
CW256,1,0,0
CW258,1,0,0
CW259,1,0,0
CW261,1,0,0
CW262,1,0,0
CW267,1,0,0
CW27,1,0,0
CW28,1,0,0
CW280,1,0,0
CW283,1,0,0
CW287,1,0,0
CW289,1,0,0
CW29,1,0,0
CW292,1,0,0
CW296,1,0,0
CW297,1,0,0
CW298,1,0,0
CW30,1,0,0
CW307,1,0,0
CW308,1,0,0
CW31,1,0,0
CW313,1,0,0
CW316,1,0,0
CW318,1,0,0
CW319,1,0,0
CW32,1,0,0
CW320,1,0,0
CW322,1,0,0
CW323,1,0,0
CW325,1,0,0
CW33,1,0,0
CW332,1,0,0
CW341,1,0,0
CW344,1,0,0
CW359,1,0,0
CW36,1,0,0
CW361,1,0,0
CW362,1,0,0
CW365,1,0,0
CW366,1,0,0
CW368,1,0,0
CW369,1,0,0
CW37,1,0,0
CW370,1,0,0
CW376,1,0,0
CW378,1,0,0
CW379,1,0,0
CW38,1,0,0
CW381,1,0,0
CW393,1,0,0
CW394,1,0,0
CW406,1,0,0
CW407,1,0,0
CW409,1,0,0
CW41,1,0,0
CW410,1,0,0
CW411,1,0,0
CW413,1,0,0
CW414,1,0,0
CW416,1,0,0
CW418,1,0,0
CW42,1,0,0
CW420,1,0,0
CW422,1,0,0
CW423,1,0,0
CW425,1,0,0
CW426,1,0,0
CW427,1,0,0
CW428,1,0,0
CW431,1,0,0
CW432,1,0,0
CW433,1,0,0
CW434,1,0,0
CW435,1,0,0
CW437,1,0,0
CW438,1,0,0
CW439,1,0,0
CW440,1,0,0
CW442,1,0,0
CW443,1,0,0
CW444,1,0,0
CW446,1,0,0
CW449,1,0,0
CW45,1,0,0
CW450,1,0,0
CW452,1,0,0
CW453,1,0,0
CW456,1,0,0
CW458,1,0,0
CW46,1,0,0
CW463,1,0,0
CW465,1,0,0
CW467,1,0,0
CW469,1,0,0
CW471,1,0,0
CW472,1,0,0
CW474,1,0,0
CW475,1,0,0
CW477,1,0,0
CW479,1,0,0
CW481,1,0,0
CW482,1,0,0
CW483,1,0,0
CW484,1,0,0
CW486,1,0,0
CW490,1,0,0
CW491,1,0,0
CW495,1,0,0
CW496,1,0,0
CW50,1,0,0
CW500,1,0,0
CW501,1,0,0
CW502,1,0,0
CW503,1,0,0
CW504,1,0,0
CW505,1,0,0
CW506,1,0,0
CW509,1,0,0
CW51,1,0,0
CW510,1,0,0
CW512,1,0,0
CW515,1,0,0
CW517,1,0,0
CW518,1,0,0
CW52,1,0,0
CW521,1,0,0
CW522,1,0,0
CW523,1,0,0
CW524,1,0,0
CW525,1,0,0
CW528,1,0,0
CW529,1,0,0
CW53,1,0,0
CW532,1,0,0
CW535,1,0,0
CW536,1,0,0
CW54,1,0,0
CW545,1,0,0
CW546,1,0,0
CW548,1,0,0
CW55,1,0,0
CW557,1,0,0
CW56,1,0,0
CW567,1,0,0
CW568,1,0,0
CW569,1,0,0
CW570,1,0,0
CW572,1,0,0
CW573,1,0,0
CW578,1,0,0
CW579,1,0,0
CW583,1,0,0
CW587,1,0,0
CW589,1,0,0
CW59,1,0,0
CW592,1,0,0
CW594,1,0,0
CW596,1,0,0
CW597,1,0,0
CW598,1,0,0
CW599,1,0,0
CW60,1,0,0
CW600,1,0,0
CW601,1,0,0
CW602,1,0,0
CW604,1,0,0
CW607,1,0,0
CW610,1,0,0
CW614,1,0,0
CW615,1,0,0
CW616,1,0,0
CW618,1,0,0
CW620,1,0,0
CW621,1,0,0
CW627,1,0,0
CW63,1,0,0
CW630,1,0,0
CW634,1,0,0
CW636,1,0,0
CW639,1,0,0
CW646,1,0,0
CW647,1,0,0
CW649,1,0,0
CW65,1,0,0
CW653,1,0,0
CW655,1,0,0
CW659,1,0,0
CW660,1,0,0
CW661,1,0,0
CW662,1,0,0
CW663,1,0,0
CW664,1,0,0
CW668,1,0,0
CW669,1,0,0
CW67,1,0,0
CW670,1,0,0
CW676,1,0,0
CW678,1,0,0
CW682,1,0,0
CW683,1,0,0
CW684,1,0,0
CW685,1,0,0
CW687,1,0,0
CW69,1,0,0
CW690,1,0,0
CW692,1,0,0
