id,member,surname,title,gender,initial,profile_pic,party_id
1404,"Mohlala, Ms MR",Mohlala,Ms,female,MR,mohlala_resized.jpg,11
2124,"Themba, Mr AT",Themba,Mr,male,AT,themba.jpg,19
961,"Ndamase, Mr P",Ndamase,Mr,male,P,1/ndamase.jpg,1
1421,"Montwedi, Mr Mk",Montwedi,Mr,male,Mk,montwedi.jpg,11
1296,"Letsie, Mr WT",Letsie,Mr,male,WT,Letsie.jpg,1
1426,"Gwarube, Ms S",Gwarube,Ms,female,S,Gwarube.jpg,2
1316,"Maneli, Mr BM",Maneli,Mr,male,BM,1/maneli.jpg,1
1682,"Selamolela, Mr S",Selamolela,Mr,male,S,Selamolela.jpg,1
1532,"Ntshalintshali, Ms LL",Ntshalintshali,Ms,female,LL,ntshalihali.jpg,1
1708,"Weber, Ms AMM",Weber,Ms,female,AMM,ms_annerie_maria_magdalena_weber.jpg,2
1300,"Luthuli, Mr BN",Luthuli,Mr,male,BN,inkosi_bhrkizizwe_nivard_luthuli.jpg,4
1371,"De Villiers, Mr JN",De Villiers,Mr,male,JN,1/De_Villiers_JN.jpg,2
2128,"Zuma-Sambudla, Ms D",Zuma-Sambudla,Ms,female,D,1/zuma_ds.jpg,19
1494,"Meth, Ms N",Meth,Ms,female,N,Meth.jpg,1
1368,"Ngcobo, Mr SL",Ngcobo,Mr,male,SL,1/Ngcobo_S.jpg,4
1361,"Phiri, Ms CM",Phiri,Ms,female,CM,Phiri.jpg,1
60,"Groenewald, Dr PJ",Groenewald,Dr,male,PJ,groenewald.jpg,8
1312,"Spies, Ms ERJ",Spies,Ms,female,ERJ,spies.jpg,2
374,"Nel, Mr AC",Nel,Mr,male,AC,4161.jpg,1
769,"Mokwele, Ms T",Mokwele,Ms,female,T,mokwele_resized.jpg,11
1334,"Mulder, Mr FJ",Mulder,Mr,male,FJ,Mulder_FJ.jpg,8
1293,"Siweya, Ms RT",Siweya,Ms,female,RT,1/siweya.jpg,1
1375,"Roos, Mr AC",Roos,Mr,male,AC,roos.jpg,2
1077,"Clarke, Ms M",Clarke,Ms,female,M,clarke.jpg,2
1429,"Nhanha, Mr M",Nhanha,Mr,male,M,nanha.jpg,2
1304,"Mphithi, Mr L",Mphithi,Mr,male,L,mphiti.jpg,2
1288,"Lamola, Mr RO",Lamola,Mr,male,RO,Lamola_RO.jpg,1
291,"Marais, Mr EJ",Marais,Mr,male,EJ,Marais_EJ.jpg,2
482,"Mbatha, Mr MS",Mbatha,Mr,male,MS,Mbatha.jpg,19
1570,"Hlabisa, Mr VF",Hlabisa,Mr,male,VF,Hlabisa.jpg,4
911,"Wessels, Mr W",Wessels,Mr,male,W,1/wessels.jpg,8
1341,"Masondo, Dr D",Masondo,Dr,male,D,Masondo.jpg,1
1302,"Mabhena, Mr TB",Mabhena,Mr,male,TB,Mabhena.jpg,2
1464,"Madikizela, Mr BS",Madikizela,Mr,male,BS,Madikizela_B.jpg,2
1290,"Langa, Mr TM",Langa,Mr,male,TM,lan.jpg,4
1374,"Direko, Ms DR",Direko,Ms,female,DR,DR_Direko.JPG,1
1377,"Dhlomo, Dr SM",Dhlomo,Dr,male,SM,Dhlomo.jpg,1
185,"Xaba-Ntshaba, Ms PP",Xaba-Ntshaba,Ms,female,PP,xaba_n.jpg,1
1378,"Schreiber, Dr LA",Schreiber,Dr,male,LA,schrieber.jpg,2
1376,"Sarupen, Mr AN",Sarupen,Mr,male,AN,sarupen.jpg,2
2131,"Khubeka, Mr TTS",Khubeka,Mr,male,TTS,Khubeka.jpg,19
1379,"Mchunu, Ms TVB",Mchunu,Ms,female,TVB,Mchunu_TVB.jpg,1
2132,"Madlala, Mr KB",Madlala,Mr,male,KB,KB_Madlala.jpg,19
1380,"Seitlholo, Mr IS",Seitlholo,Mr,male,IS,Seitlholo.jpg,2
496,"Capa, Ms RN",Capa,Ms,female,RN,capa.jpg,1
1160,"Sekoati, Mr SC",Sekoati,Mr,male,SC,Sekoati.jpg,1
517,"Hunsinger, Dr CH",Hunsinger,Dr,male,CH,94.jpg,2
640,"Mashabela, Ms N",Mashabela,Ms,female,N,mashabela.jpg,11
2133,"Msezane, Mr MP",Msezane,Mr,male,MP,msezane.jpg,19
1385,"Mgweba, Ms T",Mgweba,Ms,female,T,Mgweba.jpg,1
529,"Khawula, Ms MS",Khawula,Ms,female,MS,Khawula.jpg,11
516,"Horn, Mr W",Horn,Mr,male,W,Horn.jpg,2
494,"Breytenbach, Adv G",Breytenbach,Adv,female,G,1/Breytenbach.jpg,2
583,"Maimane, Mr MA",Maimane,Mr,male,MA,Maimane.jpg,23
596,"Shelembe, Mr ML",Shelembe,Mr,male,ML,Shelembe_L.jpg,2
2134,"Taaibosch, Mr G",Taaibosch,Mr,male,G,taaib.jpg,19
491,"Mnganga-Gcabashe, Ms LA",Mnganga-Gcabashe,Ms,female,LA,mnganga.jpg,1
1272,"Denner, Ms H",Denner,Ms,female,H,1/Denner.jpg,8
1351,"Pambo, Mr V",Pambo,Mr,male,V,Pambo.jpg,11
621,"Xego, Ms ST",Xego,Ms,female,ST,1/xego.jpg,1
